股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
831396.BJ,20250709,11.57,11.92,11.46,11.69,11.54,0.15,1.2998,91955.31,107684.322,11.69,6.3366,9.4294,2.4,45.5835,45.1221,3.3973,3.0745,2.9006,,,16557.5,14511.8432,9751.9366,193557.175,169643.447
831396.BJ,20250708,11.61,11.61,11.39,11.54,11.56,-0.02,-0.173,45199.03,51928.707,11.54,3.1146,4.6349,1.26,44.9986,44.5431,3.3537,3.0351,2.8634,,,16557.5,14511.8432,9751.9366,191073.55,167466.6705
831396.BJ,20250707,11.28,11.59,11.28,11.56,11.2,0.36,3.2143,58882.03,67690.616,11.56,4.0575,6.038,1.84,45.0766,44.6203,3.3595,3.0404,2.8683,,,16557.5,14511.8432,9751.9366,191404.7,167756.9074
831396.BJ,20250704,11.41,11.52,11.19,11.2,11.39,-0.19,-1.6681,29332.79,33198.059,11.2,2.0213,3.0079,0.9,43.6728,43.2308,3.2549,2.9457,2.779,,,16557.5,14511.8432,9751.9366,185444.0,162532.6438
831396.BJ,20250703,11.43,11.48,11.16,11.39,11.42,-0.03,-0.2627,29097.28,32969.866,11.39,2.0051,2.9837,0.77,44.4137,43.9642,3.3101,2.9956,2.8261,,,16557.5,14511.8432,9751.9366,188589.925,165289.894
831396.BJ,20250702,11.41,11.53,11.36,11.42,11.41,0.01,0.0876,28864.38,33007.297,11.42,1.989,2.9599,0.73,44.5307,44.08,3.3188,3.0035,2.8336,,,16557.5,14511.8432,9751.9366,189086.65,165725.2493
831396.BJ,20250701,11.55,11.57,11.32,11.41,11.48,-0.07,-0.6098,33530.9,38365.613,11.41,2.3106,3.4384,0.8,44.4917,44.0414,3.3159,3.0009,2.8311,,,16557.5,14511.8432,9751.9366,188921.075,165580.1309
831396.BJ,20250630,11.45,11.55,11.37,11.48,11.49,-0.01,-0.087,39468.26,45177.621,11.48,2.7197,4.0472,0.97,44.7647,44.3115,3.3362,3.0193,2.8485,,,16557.5,14511.8432,9751.9366,190080.1,166595.9599
831396.BJ,20250627,11.49,11.64,11.42,11.49,11.42,0.07,0.613,31498.37,36272.659,11.49,2.1705,3.23,0.8,44.8037,44.3501,3.3391,3.0219,2.851,,,16557.5,14511.8432,9751.9366,190245.675,166741.0784
831396.BJ,20250626,11.53,11.74,11.4,11.42,11.53,-0.11,-0.954,55134.05,63985.048,11.42,3.7992,5.6537,1.59,44.5307,44.08,3.3188,3.0035,2.8336,,,16557.5,14511.8432,9751.9366,189086.65,165725.2493
831396.BJ,20250625,11.36,11.66,11.36,11.53,11.39,0.14,1.2291,38524.36,44236.602,11.53,2.6547,3.9504,1.15,44.9596,44.5045,3.3508,3.0325,2.8609,,,16557.5,14511.8432,9751.9366,190907.975,167321.5521
831396.BJ,20250624,11.09,11.46,11.04,11.39,11.06,0.33,2.9837,45952.22,52112.235,11.39,3.1665,4.7121,1.52,44.4137,43.9642,3.3101,2.9956,2.8261,,,16557.5,14511.8432,9751.9366,188589.925,165289.894
831396.BJ,20250623,10.8,11.06,10.65,11.06,10.78,0.28,2.5974,31298.8,34198.626,11.06,2.1568,3.2095,1.01,43.1269,42.6904,3.2142,2.9089,2.7443,,,16557.5,14511.8432,9751.9366,183125.95,160500.9858
831396.BJ,20250620,10.82,11.02,10.71,10.78,10.86,-0.08,-0.7366,24960.27,27069.418,10.78,1.72,2.5595,0.68,42.0351,41.6096,3.1328,2.8352,2.6748,,,16557.5,14511.8432,9751.9366,178489.85,156437.6697
831396.BJ,20250619,11.31,11.34,10.76,10.86,11.29,-0.43,-3.8087,33042.33,36375.879,10.86,2.2769,3.3883,0.84,42.3471,41.9184,3.1561,2.8563,2.6946,,,16557.5,14511.8432,9751.9366,179814.45,157598.6172
831396.BJ,20250618,11.46,11.52,11.26,11.34,11.47,-0.13,-1.1334,31850.84,36164.154,11.34,2.1948,3.2661,0.74,44.2187,43.7712,3.2484,2.9825,2.8137,,,16557.5,14511.8432,9751.9366,187762.05,164564.3019
831396.BJ,20250617,11.5,11.67,11.41,11.47,11.52,-0.05,-0.434,30361.36,34965.232,11.47,2.0922,3.1134,0.59,44.7257,44.2729,3.2856,3.0167,2.846,,,16557.5,14511.8432,9751.9366,189914.525,166450.8415
831396.BJ,20250616,11.4,11.53,11.3,11.52,11.49,0.03,0.2611,34894.14,39927.986,11.52,2.4045,3.5782,0.64,44.9206,44.4659,3.2999,3.0298,2.8584,,,16557.5,14511.8432,9751.9366,190742.4,167176.4337
831396.BJ,20250613,11.78,11.85,11.47,11.49,11.82,-0.33,-2.7919,52254.52,60598.612,11.49,3.6008,5.3584,0.84,44.8037,44.3501,3.2913,3.0219,2.851,,,16557.5,14511.8432,9751.9366,190245.675,166741.0784
831396.BJ,20250612,11.8,11.88,11.68,11.82,11.88,-0.06,-0.5051,47079.78,55377.108,11.82,3.2442,4.8277,0.55,46.0904,45.6239,3.3858,3.1087,2.9328,,,16557.5,14511.8432,9751.9366,195709.65,171529.9866
